epoch,train_loss,val_loss,train_acc,val_acc,precision,recall,f1_score,epoch_time_sec
1,1.0860963412205988,0.6110278713150908,0.61318,0.7878,0.7982175631079759,0.7878,0.7865164297287441,260.3071880340576
2,0.5267756359552773,0.4681099251436349,0.82238,0.8439,0.8513608097484122,0.8439,0.8448755496614129,262.46863555908203
3,0.4163195815173312,0.49955326985246457,0.85754,0.8368,0.8522739742384403,0.8368,0.8359826224419458,262.5559923648834
4,0.343911735671057,0.38091227107535536,0.88256,0.8725,0.8812883149777424,0.8725,0.8737044598964114,262.6057913303375
5,0.3019421909574088,0.33580817674962093,0.89858,0.8857,0.88694113657127,0.8857,0.8849768097105749,262.61216163635254
6,0.2660039243868106,0.3286424558728743,0.9101,0.8897,0.8921647724561335,0.8897,0.8899969028448235,262.54177236557007
7,0.25021350973000317,0.3980892717171782,0.91496,0.8673,0.8769051658535969,0.8673,0.8663458988841068,262.61953592300415
8,0.23162923673118965,0.31406163843199847,0.9204,0.899,0.9010109725966188,0.899,0.8990041386137769,262.96651101112366
9,0.21939949645116802,0.364272264960094,0.9262,0.8794,0.8890107852924161,0.8794,0.8810188701411862,263.07393765449524
10,0.20790206399488234,0.30316877528763236,0.92852,0.901,0.902653882432721,0.901,0.9012484226525821,263.0199029445648
11,0.19500132726287314,0.2803270592630957,0.93424,0.9103,0.9106713042599502,0.9103,0.9102676995397972,264.37950921058655
12,0.17861817462813118,0.32203036354491693,0.93816,0.8981,0.8994679666082106,0.8981,0.8981939659708538,263.82754373550415
13,0.1889562410521735,0.2955337446480513,0.93566,0.9039,0.9069623246312499,0.9039,0.9044710743294693,263.63160037994385
14,0.17706683040233073,0.3741958712438901,0.94068,0.8811,0.8854542273897096,0.8811,0.879808060996739,263.7323338985443
15,0.16425060464327848,0.3356389960946557,0.94392,0.8907,0.8930766816716734,0.8907,0.8909059972388274,263.7380259037018
16,0.16965800253358584,0.3869850132733393,0.94182,0.8814,0.8865417886663636,0.8814,0.8813857871599322,263.64322876930237
17,0.16916491172019624,0.39674070012121915,0.94224,0.8845,0.8874562175858755,0.8845,0.8842495973044397,263.7056143283844
18,0.15760612855674325,0.35206584086100134,0.94752,0.888,0.8890956624070051,0.888,0.8871789789277001,263.71517729759216
19,0.15279303553978354,0.37752767931967496,0.9477,0.8824,0.8899125704377322,0.8824,0.8828827891389587,263.6789782047272
20,0.15075914083961553,0.3290758430608176,0.94948,0.9062,0.9066130654966404,0.9062,0.9062600653465506,263.9276964664459
21,0.1559754088776477,0.33039275488366904,0.94704,0.9019,0.9040502578759182,0.9019,0.9021691318477775,263.705139875412
22,0.14871933475948312,0.36123599657735317,0.9501,0.8889,0.8934245997294498,0.8889,0.8884640600247787,263.712290763855
23,0.14700523599543117,0.3215924159715922,0.95118,0.8988,0.9001810666411871,0.8988,0.8988378998861033,263.87368631362915
24,0.14346075836886066,0.3628868299801224,0.95172,0.8906,0.8929209213372739,0.8906,0.8894166165916253,263.96269178390503
25,0.14534920546248847,0.31847604871772156,0.95104,0.9026,0.9026100016951611,0.9026,0.9019179361340264,264.05948066711426
26,0.137075242709925,0.34615694484807336,0.95462,0.8992,0.9020524558447712,0.8992,0.8996538688232427,264.0056240558624
27,0.14009857011103308,0.36472915109401693,0.95344,0.891,0.8938319563486208,0.891,0.890801580194759,264.0956473350525
28,0.13490225955419677,0.3233046939465613,0.95424,0.9051,0.9057970379041879,0.9051,0.9051203906924736,263.98868465423584
29,0.13697280014313337,0.3353144943107146,0.95346,0.9021,0.9036015664016263,0.9021,0.9019563245844927,263.96816849708557
30,0.14044422945891039,0.33396145297934454,0.95264,0.8957,0.8975724849416765,0.8957,0.8953317664561753,263.83236718177795
31,0.13128740871944825,0.3376178130947839,0.95574,0.8988,0.9019392805161808,0.8988,0.899407012949816,264.08062767982483
32,0.1294093646882376,0.39313319999093826,0.9572,0.8878,0.8913694241052912,0.8878,0.8875806205791039,263.96439242362976
33,0.12797254817670548,0.4035376526546269,0.95648,0.8803,0.8832282385166441,0.8803,0.8794095087112611,263.92839765548706
34,0.12885628973340327,0.34569256997015624,0.957,0.8987,0.8990988269508052,0.8987,0.8983682907367071,263.94073152542114
35,0.12742498405153344,0.3260848079584896,0.95804,0.9019,0.9034625017549113,0.9019,0.901273893960364,263.9930684566498
36,0.12902695102729164,0.33835067840132377,0.9572,0.8952,0.8978207037325346,0.8952,0.8949906655381518,264.1235280036926
37,0.12870530797447474,0.34699565176361097,0.95758,0.8959,0.8984538853516111,0.8959,0.8963575589960352,263.47541427612305
38,0.1302639097640823,0.3509329273499334,0.95756,0.8945,0.8975819854747189,0.8945,0.894348617066837,262.2959711551666
39,0.1247456270336413,0.38070640703454944,0.95824,0.8851,0.8889813362953238,0.8851,0.8855761634770813,262.3827214241028
40,0.12274956659926906,0.3298219445462044,0.95962,0.8963,0.8987451818604987,0.8963,0.8961319091961366,262.5169198513031
41,0.13001868581895074,0.3783279720473642,0.95688,0.8946,0.896255198874442,0.8946,0.8945165608663745,262.78189754486084
