epoch,train_loss,val_loss,train_acc,val_acc,precision,recall,f1_score,epoch_time_sec
24,0.10836300858900055,0.22444335634882648,0.96368,0.9246,0.9258010543949046,0.9246,0.9246759772002587,157.19361996650696
25,0.11573829703534681,0.2428071016546922,0.96086,0.9203,0.9215433488393217,0.9203,0.9204205043297202,157.43616580963135
26,0.11793406837770593,0.2535090265682521,0.96154,0.9183,0.919913738965075,0.9183,0.9177985825086409,157.189879655838
27,0.11720829456627502,0.23728682301319637,0.9611,0.9231,0.9242288340757961,0.9231,0.9232205812876709,157.1898546218872
28,0.11494614521842343,0.20677849029699644,0.96248,0.9306,0.9313205056234004,0.9306,0.9306529424532902,156.9525797367096
29,0.11367520562004267,0.21918310385685377,0.96306,0.929,0.9295137014656568,0.929,0.9288244793547319,157.08553075790405
30,0.1267596944786432,0.24590150313898207,0.95742,0.9197,0.9207495917765347,0.9197,0.9193910403472839,157.12066960334778
31,0.12024150263984054,0.3082186897960715,0.9607,0.9025,0.9066809567052205,0.9025,0.9021107898507486,157.24152636528015
32,0.11987787229604828,0.26260910280786764,0.96026,0.9165,0.9195167933042907,0.9165,0.9169424673252741,157.28835153579712
33,0.12542687915563488,0.2943701703970234,0.9586,0.9061,0.9115527324899815,0.9061,0.9075056165145903,157.16638660430908
34,0.12814688868463153,0.2897552044425433,0.95698,0.9017,0.905551053222486,0.9017,0.9017095655843518,157.0018961429596
35,0.1245926311665637,0.2827628247332744,0.95842,0.9048,0.9096927984479706,0.9048,0.9051481330361647,157.00715398788452
36,0.13027627507620326,0.2645300692810228,0.95696,0.9168,0.9178255164216033,0.9168,0.91676388150422,156.99701833724976
37,0.13153022598154648,0.2573619711810884,0.95678,0.9166,0.9176752554235132,0.9166,0.9163479209282819,157.31968450546265
38,0.12944870099952052,0.30105983174908846,0.95746,0.9023,0.9082025754097148,0.9023,0.903295164670944,157.0756232738495
39,0.13530968664892098,0.28761082330641274,0.9552,0.9053,0.9076489538813365,0.9053,0.9049751187424081,157.05059051513672
40,0.13320212748309243,0.2733386952739459,0.95576,0.9106,0.9144837644622881,0.9106,0.9109056441980132,157.1586332321167
41,0.13194556965719687,0.30414065619865166,0.9563,0.9012,0.9082058104797954,0.9012,0.9013147120160262,157.02674412727356
42,0.13081276382993542,0.2853090401512746,0.95594,0.9071,0.9100402902529013,0.9071,0.9068386428626795,157.12641835212708
43,0.13050921848466857,0.27623567514764236,0.95662,0.9131,0.9148554265840521,0.9131,0.912563927613538,156.95137977600098
44,0.13622703009582365,0.26124292038999997,0.95482,0.9164,0.9170359269646069,0.9164,0.9158036078377704,157.04097414016724
45,0.13284804349466062,0.3117595616335305,0.9546,0.8977,0.9019458461391463,0.8977,0.898550711977861,157.19952774047852
46,0.13574647596129769,0.27736980666201144,0.95356,0.9105,0.9150553398546956,0.9105,0.9109703892277681,157.60428142547607
47,0.13175909596918983,0.28222219998867937,0.95572,0.9082,0.9122847006867912,0.9082,0.9086707006650702,157.41339111328125
48,0.13696636926288636,0.2715945268115297,0.9537,0.9126,0.9143374415675537,0.9126,0.9127210820130149,157.4487383365631
49,0.13804747736747647,0.23285304935881124,0.95334,0.9252,0.9261192995767699,0.9252,0.925349309178002,157.6081428527832
50,0.12874957231920325,0.2715432045999141,0.95744,0.9107,0.9132650557489136,0.9107,0.9098846998162106,157.74984073638916
