epoch,train_loss,val_loss,train_acc,val_acc,precision,recall,f1_score,epoch_time_sec
55,0.11706806844030641,0.34092155524407525,0.96292,0.8991,0.8999044683340937,0.8991,0.8988383688996544,283.6530237197876
56,0.1120404109241255,0.36295678407346577,0.96354,0.8863,0.8902475194470691,0.8863,0.886433438767738,283.8898329734802
57,0.11515677091702807,0.3473509467703799,0.96204,0.8943,0.8954488207308324,0.8943,0.8938554508082616,283.80661630630493
58,0.11953866488543968,0.4282211759648384,0.96064,0.8771,0.8820312352005971,0.8771,0.8763084317513183,284.11307525634766
59,0.11003143054476218,0.3290088647045195,0.9638,0.8954,0.8970103345626936,0.8954,0.8957391759191085,283.9164242744446
60,0.11866157205311506,0.4291251530876746,0.96066,0.8804,0.8851061577986366,0.8804,0.8804149936607107,284.00016689300537
61,0.11656931949615829,0.3299593399888791,0.96242,0.8995,0.9014960062447399,0.8995,0.8990214321340901,283.6490240097046
62,0.10986331064613496,0.4255409769969769,0.9635,0.8785,0.8832908491373741,0.8785,0.8787794458424975,284.1379864215851
63,0.11552329395577562,0.36605775527382334,0.96144,0.8888,0.8913433274903481,0.8888,0.888597680765276,284.2944016456604
64,0.11153958739626352,0.3428776501871336,0.9637,0.9013,0.9031541580589985,0.9013,0.9014838969226863,284.35337686538696
65,0.11796887453130946,0.3421017548706109,0.96194,0.9003,0.9007745751514546,0.9003,0.9001503833420795,284.47187304496765
66,0.11204987626540804,0.3693429929570268,0.96356,0.8877,0.8924128614750915,0.8877,0.8882776839804774,283.70298433303833
67,0.12076702075328151,0.4183686001928517,0.96052,0.89,0.89247967306367,0.89,0.8898446863552133,284.50199031829834
68,0.11813044734768419,0.3649279230152266,0.96254,0.8878,0.8888565190167217,0.8878,0.8871254686917386,283.9788236618042
69,0.12092135147296157,0.3397905438418348,0.96016,0.8981,0.8999457824352476,0.8981,0.8984518631878271,283.88426637649536
70,0.11531554325282638,0.37396413427048597,0.96202,0.8891,0.8926820583943387,0.8891,0.8897740246155267,283.99522709846497
71,0.11103682846628768,0.3978779370042558,0.96398,0.8824,0.8865300021198731,0.8824,0.8822074403980394,283.68294644355774
72,0.1186666278788547,0.38341291883168893,0.96148,0.8796,0.8806662050253915,0.8796,0.8791151487663388,284.1467306613922
73,0.11605636397814163,0.4087257152393508,0.9617,0.8825,0.8902818792718055,0.8825,0.8827259874655794,284.2515277862549
74,0.11245771718915476,0.3759474316522622,0.9642,0.9037,0.9051891310368115,0.9037,0.9039298544239186,283.96273398399353
75,0.11030884047707105,0.3791290128651185,0.96454,0.8861,0.8907235307034583,0.8861,0.8873378393670626,284.1262264251709
76,0.11589515107917413,0.32771913532298597,0.96258,0.8933,0.8940427878480952,0.8933,0.8924916603519987,283.96994829177856
77,0.11295263556143392,0.3764623622603405,0.9632,0.8899,0.8931532390074988,0.8899,0.890222806930484,283.47491002082825
78,0.11015396143061151,0.39147391852241353,0.96402,0.8854,0.8902042804856168,0.8854,0.886358046855287,284.21754336357117
79,0.11101385761217422,0.46818093920703796,0.96438,0.8792,0.8853492188790318,0.8792,0.8788462597929861,283.88993191719055
80,0.11212029391688548,0.3764550328052368,0.9638,0.8959,0.8991966188099717,0.8959,0.8961557576025049,284.3631315231323
81,0.11997435071738884,0.4138161196126439,0.9614,0.876,0.880679098087628,0.876,0.8753499409829368,283.93296694755554
82,0.11680514439402692,0.35177296302028405,0.9621,0.8969,0.8987710315960287,0.8969,0.8969716646669013,284.0734612941742
83,0.1107794056819771,0.38031461582885095,0.96414,0.8976,0.9017997116994672,0.8976,0.8985192905468044,284.07644057273865
84,0.11860094634273524,0.44982818095162275,0.96128,0.8787,0.8799698789482276,0.8787,0.8764157096584723,283.5971345901489
85,0.11420957160629785,0.35847045152712936,0.9622,0.899,0.9008513011135827,0.899,0.8991768978511422,284.06768584251404
86,0.1152348915781687,0.479154555192485,0.96278,0.8708,0.8793346061050324,0.8708,0.8713201247564051,283.48738408088684
87,0.11499277382374933,0.3581380471676445,0.96336,0.8918,0.894253781278707,0.8918,0.8922422049058736,284.38872146606445
88,0.11658672331178398,0.45871613906642883,0.96332,0.8703,0.8807394710922503,0.8703,0.8709638555816224,283.7239785194397
89,0.10817512963186879,0.3890078225077841,0.966,0.8928,0.8937948764729581,0.8928,0.8930063456099472,283.868022441864
90,0.11137758524282833,0.3697582006026,0.9637,0.8955,0.8968202221072883,0.8955,0.8956606677378101,284.1814169883728
91,0.10541138213813979,0.4047842308843193,0.96598,0.8885,0.8903210815332775,0.8885,0.8886835193923245,284.08340549468994
92,0.11501153098968687,0.3750682379812383,0.96172,0.8965,0.9014413131883166,0.8965,0.897559359332558,284.0235290527344
93,0.11633703167882753,0.40012003779530336,0.96254,0.8867,0.8897578481227983,0.8867,0.8865780844781944,284.28649401664734
94,0.11453154711680659,0.3413968820231982,0.96246,0.8974,0.897992332338915,0.8974,0.8969925109762958,284.26634192466736
95,0.10785995836885705,0.4339080898079295,0.96532,0.8937,0.8949369258559619,0.8937,0.8925549340449394,284.33157110214233
96,0.1179523182277921,0.44914419784511145,0.96236,0.8873,0.8916355987154202,0.8873,0.8875395635809992,284.2718098163605
97,0.11201615404309788,0.4546634554974556,0.96358,0.885,0.887641121176237,0.885,0.8842465475660393,283.99087142944336
98,0.11320949095388921,0.38147491161092617,0.96306,0.8946,0.8943679441559228,0.8946,0.8943002166886301,284.03778743743896
99,0.10962324701608603,0.355406261938877,0.96408,0.8953,0.8985713427720704,0.8953,0.895734170219194,284.4254062175751
100,0.11566652291563044,0.41133302110976305,0.96308,0.8789,0.8832715552512512,0.8789,0.878569157057366,283.8768541812897
